time,H1,L1
1420878138.3808794,-1.9160472541790813e-22,-2.674579838471678e-22
1420878138.3811235,6.030543916452434e-22,-1.7695102061394283e-23
1420878138.3813677,2.0919847328331058e-22,1.9021898020016936e-22
1420878138.3816118,-9.197258396933339e-23,-1.841510102337438e-22
1420878138.381856,-4.987929283485604e-23,-3.467781629027054e-23
1420878138.3821,1.2523134960826528e-22,-1.75497493677592e-22
1420878138.3823442,1.1888115332180533e-22,9.644944763289871e-23
1420878138.3825884,1.3850183389562923e-22,-1.3752547282400242e-22
1420878138.3828325,-2.3729439954885137e-22,-7.468339407608012e-23
1420878138.3830767,6.864507915583045e-22,1.5894071823636375e-22
1420878138.3833208,8.770159395766573e-23,1.649004474919917e-22
1420878138.383565,-1.294033469264796e-22,-8.560574097485146e-23
1420878138.383809,-6.978177702015717e-24,-3.1168818869527886e-22
1420878138.3840532,-4.7931669234319566e-23,4.971959271301849e-22
1420878138.3842974,1.400128566952244e-22,-2.8586701230739577e-22
1420878138.3845415,-2.697165716998101e-22,1.219989714946518e-23
1420878138.3847857,-1.513785419675979e-22,-2.0566211870447464e-22
1420878138.3850298,8.31345012104799e-23,-4.585462516142569e-23
1420878138.385274,-2.9282414640714674e-22,-2.38227052298066e-22
1420878138.385518,1.3981399135548972e-22,2.204016313747455e-22
1420878138.3857622,-2.0260482345584735e-22,-2.285037904565766e-22
1420878138.3860064,-5.861284371532827e-22,2.6043608521081437e-23
1420878138.3862505,2.2502511552423365e-22,8.72949984964011e-24
1420878138.3864946,-3.3342306384033196e-22,-4.1416087127998745e-22
1420878138.3867388,-9.226623167224319e-23,2.427180738195852e-22
1420878138.386983,-2.511924914240411e-22,-1.5191336291550406e-22
1420878138.387227,1.4013136142187945e-22,-3.8657197244299864e-22
1420878138.3874712,-1.4122625321109288e-23,5.221447011843082e-22
1420878138.3877153,-4.032048531151602e-22,-4.720263017258147e-22
1420878138.3879595,9.372171719239248e-23,2.572584549575452e-22
1420878138.3882036,5.9594606410349044e-24,-5.096120198734014e-22
1420878138.3884478,-3.5428522231952345e-22,5.890475475603135e-23
1420878138.388692,-1.535362043636365e-22,-1.1521770639178118e-22
1420878138.388936,6.28123670014432e-23,-1.037671347785951e-22
1420878138.3891802,-2.5154431786961947e-23,4.9515190409485793e-23
1420878138.3894243,-2.3204038194983814e-23,-1.3812629501059366e-22
1420878138.3896685,-3.368415424016436e-22,-2.116237412355373e-22
1420878138.3899126,3.002483074238262e-22,-1.1486737545050595e-22
1420878138.3901567,-3.178645815077732e-22,-1.7413851982138866e-23
1420878138.390401,-3.633697047323979e-22,-1.5533648559879695e-22
1420878138.390645,2.4676603150853443e-22,2.401456536995408e-22
1420878138.3908892,-8.784489415759296e-23,-4.30360749206222e-22
1420878138.3911333,-5.341564629940263e-22,-1.2616680106921371e-22
1420878138.3913774,-1.9981794997166067e-22,2.592002487122299e-22
1420878138.3916216,1.1830310806488843e-22,-8.763623441181652e-23
1420878138.3918657,-1.660484847038474e-22,-2.5126456545256596e-22
1420878138.3921099,-4.076239597190367e-22,-6.860668872908843e-23
1420878138.392354,3.318244913966885e-22,6.526234686146472e-23
1420878138.3925982,6.229018758840263e-23,1.3671337591726417e-22
1420878138.3928423,1.594468291222606e-22,-3.051615406909566e-22
1420878138.3930864,-1.4149445035366711e-22,1.727043864343574e-22
1420878138.3933306,7.268173845213447e-23,-4.274025893405277e-23
1420878138.3935747,-3.495270479816735e-22,-1.0119562683503562e-22
1420878138.3938189,2.9705156984662473e-22,-5.756867011676548e-23
1420878138.394063,1.0094594154709848e-22,-1.1701726096326527e-22
1420878138.3943071,-3.767217958311584e-22,2.850355195078573e-22
1420878138.3945513,-3.083690384848996e-22,-8.965851254452305e-23
1420878138.3947954,1.0596984415294096e-22,-2.354921045904727e-22
1420878138.3950396,-4.0259527374781697e-22,-6.054681682479672e-23
1420878138.3952837,3.80184980061517e-22,-7.918027039337392e-23
